,block_num,tx_time,tx_from,tx_to,tx_amount,tx_fee,account_value
0xe309...4be20d,37504618,"Sep 03, 2020  20:59:45  /  UTC+9",0xe309...4be20d,0x2968...c4e5a8,1,0.000775,150670791.0
0x5ecf...fc8491,37504558,"Sep 03, 2020  20:58:45  /  UTC+9",0x5ecf...fc8491,0x2968...c4e5a8,-21410,0.000775,150670791.0
0x48e5...c2b6fd,37504785,"Sep 03, 2020  21:02:32  /  UTC+9",0x48e5...c2b6fd,0x2968...c4e5a8,-2800,0.000775,150664991.0
0xc7c2...c82a02,37504712,"Sep 03, 2020  21:01:19  /  UTC+9",0xc7c2...c82a02,0x2968...c4e5a8,-3000,0.000775,150664991.0
0xd61c...94b947,37505201,"Sep 03, 2020  21:09:28  /  UTC+9",0xd61c...94b947,0x2968...c4e5a8,11520,0.000775,150676512.0
0xe981...c26a8a,37505340,"Sep 03, 2020  21:11:47  /  UTC+9",0xe981...c26a8a,0x2968...c4e5a8,334,0.000775,150678551.0
0x15c6...cc8230,37505272,"Sep 03, 2020  21:10:39  /  UTC+9",0x15c6...cc8230,0x2968...c4e5a8,1705,0.000775,150678551.0
0xf35e...eeda2f,37505261,"Sep 03, 2020  21:10:28  /  UTC+9",0xf35e...eeda2f,0x2968...c4e5a8,-18454,0.000775,150678551.0
0x26c0...9b9eeb,37505407,"Sep 03, 2020  21:12:54  /  UTC+9",0x26c0...9b9eeb,0x2968...c4e5a8,-3073,0.000775,150675455.0
0x39b5...801d60,37505395,"Sep 03, 2020  21:12:42  /  UTC+9",0x39b5...801d60,0x2968...c4e5a8,-22,0.000775,150675455.0
0x2f2e...00cf59,37505344,"Sep 03, 2020  21:11:51  /  UTC+9",0x2f2e...00cf59,0x2968...c4e5a8,18454,0.000775,150675455.0
0xdea9...44b90e,37505547,"Sep 03, 2020  21:15:14  /  UTC+9",0xdea9...44b90e,0x2968...c4e5a8,-20000,0.000775,150655455.0
0xe5b8...d215fb,37505737,"Sep 03, 2020  21:18:24  /  UTC+9",0xe5b8...d215fb,0x2968...c4e5a8,0,0.000775,150655455.0
0xa649...03dd22,37505875,"Sep 03, 2020  21:20:42  /  UTC+9",0xa649...03dd22,0x2968...c4e5a8,-573,0.000775,150674881.0
0xaa00...7582b8,37505869,"Sep 03, 2020  21:20:36  /  UTC+9",0xaa00...7582b8,0x2968...c4e5a8,20000,0.000775,150674881.0
0x28ea...748929,37506270,"Sep 03, 2020  21:27:17  /  UTC+9",0x28ea...748929,0x2968...c4e5a8,-330,0.000775,150674551.0
0xd7b3...2ad97a,37506450,"Sep 03, 2020  21:30:17  /  UTC+9",0xd7b3...2ad97a,0x2968...c4e5a8,100,0.000775,150674651.0
0xfbb5...0cb4f0,37506645,"Sep 03, 2020  21:33:32  /  UTC+9",0xfbb5...0cb4f0,0x2968...c4e5a8,10,0.000775,150674661.0
0x01de...1da681,37506787,"Sep 03, 2020  21:35:54  /  UTC+9",0x01de...1da681,0x2968...c4e5a8,30,0.000775,150711196.0
0x86c7...dc97ad,37506784,"Sep 03, 2020  21:35:51  /  UTC+9",0x86c7...dc97ad,0x2968...c4e5a8,6505,0.000775,150711196.0
0x1cdc...eaa091,37506779,"Sep 03, 2020  21:35:46  /  UTC+9",0x1cdc...eaa091,0x2968...c4e5a8,30000,0.000775,150711196.0
0xb62c...70565d,37506988,"Sep 03, 2020  21:39:15  /  UTC+9",0xb62c...70565d,0x2968...c4e5a8,9999,0.000775,150711064.0
0x502a...c9c664,37506923,"Sep 03, 2020  21:38:10  /  UTC+9",0x502a...c9c664,0x2968...c4e5a8,-10132,0.000775,150711064.0
0xd1a5...b81fda,37507054,"Sep 03, 2020  21:40:21  /  UTC+9",0xd1a5...b81fda,0x2968...c4e5a8,4999,0.000775,150716064.0
